Comment Number (ID),Nickname,User @,User URL,Comment Text,Time,Likes,Profile Picture URL,Is 2nd Level Comment,User Replied To,Number of Replies
227,PaulaM,onethriftychic,https://www.tiktok.com/@onethriftychic,the only thing teump loves is himself. he wouldnt piss on u if u were on fire.,10-8-2022,1,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1693231003310085~c5_100x100.jpg?x-expires=1675346400&x-signature=D5ij9ADnMuhNkZLZ4aHDPTXOos0%3D,No,---,0
228,user8014220216297,toctokgal2020,https://www.tiktok.com/@toctokgal2020,U look old enough to READ TRY IT HES GOING TO PRISON HE S A COMMI,9-8-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/66dbf4c4b220a24b823a94bc089d5c5a~c5_100x100.jpg?x-expires=1675346400&x-signature=cxMXv5ChfwFcQ%2BQaoyPSG3mK9Ew%3D,No,---,0
229,garchunde7,garchunde7,https://www.tiktok.com/@garchunde7,My question is how much did trump support his most loyal following insurrectionist. Not at all. 😂😂 Yup true fact.,8-8-2022,1,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=kmC6Ux1KzxPH1aOxas2ZQaBg9jM%3D,No,---,0
230,some random kid,some_random_internet_kid,https://www.tiktok.com/@some_random_internet_kid,he did stop fighting for the us and abandoned it oh or don't forget that attack on the capital sad you're family's git u to think this🤦🏽‍♀️,29-7-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2aaff20fdd797b0ca0891825db94fbc8~c5_100x100.jpg?x-expires=1675346400&x-signature=qpr4vMQ%2FaJG8RIEfn4oBK%2Fjo0Bs%3D,No,---,1
231,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,That was a conspiracy from the Democrats ( PELOSI the witch). ALL SETUP,11-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,some random kid,0
232,Luis Salinas773,user9850225084892,https://www.tiktok.com/@user9850225084892,He went golfing every 3 days to pour money into his property,25-7-2022,1,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1683635168891910~c5_100x100.jpg?x-expires=1675346400&x-signature=oh5HQltDZ5WfMGb2FcqqrbGTLZQ%3D,No,---,2
233,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,And Hunter,12-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,Luis Salinas773,0
234,pinkprincess775,pinkprincess775,https://www.tiktok.com/@pinkprincess775,And Biden gave Millions to Ukrain . While the American homeless and veterans epidemic got worst. So before you speak get your FACTS straight,12-10-2022,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3ae25fc8c8860872a1734d7b1045ff38~c5_100x100.jpg?x-expires=1675346400&x-signature=CpoynzHfmp3Eo6Dn7w3BrX1C1ko%3D,Yes,Luis Salinas773,0
235,iwilldragyou4life,iwilldragyou4life,https://www.tiktok.com/@iwilldragyou4life,White people problems 😂,24-7-2022,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_100x100.jpg?x-expires=1675346400&x-signature=HDTv3qXJwcMMIp%2F4z7LaCZADyUY%3D,No,---,0
236,M,mm222122,https://www.tiktok.com/@mm222122,Ummm he literally told military vets that they’re ‘losers and suckers’—and a treasonous pos.,22-7-2022,0,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1680764920503301~c5_100x100.jpg?x-expires=1675346400&x-signature=j0JJFHUjkQCyEmW%2B%2FyUp6LRiZ8Q%3D,No,---,3
